text,label
"I have 5 years experience in software development and Python programming.",positive
"Looking for internship opportunities in data science.",neutral
"This resume lacks relevant skills and experience.",negative
"Expert in machine learning, AI, and data analysis.",positive
"Currently unemployed and seeking a job in IT.",neutral
"Poorly formatted resume with little information.",negative
"Skilled in project management and communication.",positive
"Open to part-time jobs and freelance work.",neutral
"Resume missing important contact details.",negative
"Certified professional with multiple awards.",positive
"Seeking new challenges in technology.",neutral
"Resume is outdated and incomplete.",negative
"Strong background in software engineering.",positive
"Interested in remote work positions.",neutral
"Resume has spelling errors and poor formatting.",negative
